1,2,3
0,1467821085,Mon Apr 06 22:22:26 PDT 2009
0,1467821338,Mon Apr 06 22:22:30 PDT 2009
0,1467821455,Mon Apr 06 22:22:32 PDT 2009
0,1467821715,Mon Apr 06 22:22:37 PDT 2009
0,1467822384,Mon Apr 06 22:22:47 PDT 2009
0,1467822389,Mon Apr 06 22:22:47 PDT 2009
0,1467822519,Mon Apr 06 22:22:49 PDT 2009
0,1467822522,Mon Apr 06 22:22:49 PDT 2009
0,1467822687,Mon Apr 06 22:22:52 PDT 2009
0,1467822918,Mon Apr 06 22:22:55 PDT 2009
0,1467823437,Mon Apr 06 22:23:03 PDT 2009
0,1467823770,Mon Apr 06 22:23:08 PDT 2009
0,1467823851,Mon Apr 06 22:23:09 PDT 2009
0,1467824199,Mon Apr 06 22:23:15 PDT 2009
0,1467824664,Mon Apr 06 22:23:23 PDT 2009
0,1467824967,Mon Apr 06 22:23:28 PDT 2009
0,1467825003,Mon Apr 06 22:23:28 PDT 2009
0,1467825084,Mon Apr 06 22:23:30 PDT 2009
0,1467825411,Mon Apr 06 22:23:35 PDT 2009
0,1467825642,Mon Apr 06 22:23:39 PDT 2009
0,1467825863,Mon Apr 06 22:23:43 PDT 2009
0,1467825883,Mon Apr 06 22:23:43 PDT 2009
0,1467826052,Mon Apr 06 22:23:45 PDT 2009
0,1467833672,Mon Apr 06 22:25:44 PDT 2009
0,1467833690,Mon Apr 06 22:25:44 PDT 2009
0,1467833736,Mon Apr 06 22:25:45 PDT 2009
0,1467833799,Mon Apr 06 22:25:46 PDT 2009
0,1467834001,Mon Apr 06 22:25:49 PDT 2009
0,1467834053,Mon Apr 06 22:25:52 PDT 2009
0,1467834227,Mon Apr 06 22:25:53 PDT 2009
0,1467834239,Mon Apr 06 22:25:53 PDT 2009
0,1467834265,Mon Apr 06 22:25:54 PDT 2009
0,1467834284,Mon Apr 06 22:25:54 PDT 2009
0,1467834400,Mon Apr 06 22:25:56 PDT 2009
0,1467834817,Mon Apr 06 22:26:02 PDT 2009
0,1467835085,Mon Apr 06 22:26:06 PDT 2009
0,1467835198,Mon Apr 06 22:26:08 PDT 2009
0,1467835305,Mon Apr 06 22:26:10 PDT 2009
0,1467835345,Mon Apr 06 22:26:10 PDT 2009
0,1467835577,Mon Apr 06 22:26:14 PDT 2009
0,1467835880,Mon Apr 06 22:26:18 PDT 2009
0,1467836024,Mon Apr 06 22:26:21 PDT 2009
0,1467836111,Mon Apr 06 22:26:22 PDT 2009
0,1467836448,Mon Apr 06 22:26:27 PDT 2009
0,1467836500,Mon Apr 06 22:26:28 PDT 2009
0,1467836576,Mon Apr 06 22:26:29 PDT 2009
0,1467836583,Mon Apr 06 22:26:29 PDT 2009
0,1467836859,Mon Apr 06 22:26:33 PDT 2009
0,1467836873,Mon Apr 06 22:26:33 PDT 2009
0,1467837189,Mon Apr 06 22:26:38 PDT 2009
0,1467837384,Mon Apr 06 22:26:42 PDT 2009
0,1467837470,Mon Apr 06 22:26:43 PDT 2009
0,1467837579,Mon Apr 06 22:26:45 PDT 2009
0,1467837602,Mon Apr 06 22:26:45 PDT 2009
0,1467837762,Mon Apr 06 22:26:48 PDT 2009
0,1467837819,Mon Apr 06 22:26:49 PDT 2009
0,1467837888,Mon Apr 06 22:26:52 PDT 2009
0,1467838188,Mon Apr 06 22:26:54 PDT 2009
0,1467838189,Mon Apr 06 22:26:54 PDT 2009
0,1467838362,Mon Apr 06 22:26:57 PDT 2009
0,1467838419,Mon Apr 06 22:27:00 PDT 2009
0,1467838433,Mon Apr 06 22:26:58 PDT 2009
0,1467838630,Mon Apr 06 22:27:02 PDT 2009
0,1467839007,Mon Apr 06 22:27:08 PDT 2009
0,1467839405,Mon Apr 06 22:27:15 PDT 2009
0,1467839450,Mon Apr 06 22:27:16 PDT 2009
0,1467839477,Mon Apr 06 22:27:16 PDT 2009
0,1467839586,Mon Apr 06 22:27:18 PDT 2009
0,1467839737,Mon Apr 06 22:27:21 PDT 2009
0,1467839816,Mon Apr 06 22:27:22 PDT 2009
0,1467840016,Mon Apr 06 22:27:25 PDT 2009
0,1467840386,Mon Apr 06 22:27:31 PDT 2009
0,1467840552,Mon Apr 06 22:27:34 PDT 2009
0,1467840629,Mon Apr 06 22:27:35 PDT 2009
0,1467841189,Mon Apr 06 22:27:45 PDT 2009
0,1467841204,Mon Apr 06 22:27:45 PDT 2009
0,1467841832,Mon Apr 06 22:27:55 PDT 2009
0,1467841885,Mon Apr 06 22:27:56 PDT 2009
0,1467841897,Mon Apr 06 22:27:56 PDT 2009
0,1467841969,Mon Apr 06 22:27:57 PDT 2009
0,1467842107,Mon Apr 06 22:28:02 PDT 2009
0,1467842299,Mon Apr 06 22:28:03 PDT 2009
0,1467842377,Mon Apr 06 22:28:04 PDT 2009
0,1467842448,Mon Apr 06 22:28:05 PDT 2009
0,1467842568,Mon Apr 06 22:28:07 PDT 2009
0,1467842607,Mon Apr 06 22:28:09 PDT 2009
0,1467842832,Mon Apr 06 22:28:11 PDT 2009
0,1467842837,Mon Apr 06 22:28:11 PDT 2009
0,1467843075,Mon Apr 06 22:28:15 PDT 2009
0,1467843215,Mon Apr 06 22:28:18 PDT 2009
0,1467843470,Mon Apr 06 22:28:21 PDT 2009
0,1467843568,Mon Apr 06 22:28:23 PDT 2009
0,1467843624,Mon Apr 06 22:28:24 PDT 2009
0,1467843647,Mon Apr 06 22:28:24 PDT 2009
0,1467843734,Mon Apr 06 22:28:26 PDT 2009
0,1467843740,Mon Apr 06 22:28:26 PDT 2009
0,1467844097,Mon Apr 06 22:28:33 PDT 2009
0,1467844140,Mon Apr 06 22:28:32 PDT 2009
0,1467844157,Mon Apr 06 22:28:32 PDT 2009
0,1467844505,Mon Apr 06 22:28:38 PDT 2009
0,1467844540,Mon Apr 06 22:28:38 PDT 2009
0,1467844907,Mon Apr 06 22:28:45 PDT 2009
0,1467845095,Mon Apr 06 22:28:48 PDT 2009
0,1467845157,Mon Apr 06 22:28:51 PDT 2009
0,1467852031,Mon Apr 06 22:30:34 PDT 2009
0,1467852067,Mon Apr 06 22:30:34 PDT 2009
0,1467852789,Mon Apr 06 22:30:45 PDT 2009
0,1467853135,Mon Apr 06 22:30:50 PDT 2009
0,1467853356,Mon Apr 06 22:30:54 PDT 2009
0,1467853431,Mon Apr 06 22:30:55 PDT 2009
0,1467853479,Mon Apr 06 22:30:56 PDT 2009
0,1467854062,Mon Apr 06 22:31:05 PDT 2009
